,Lattitude,Longitude
0,34.5150517,-112.3846756300716
1,34.5157723875,-112.38434255131264
2,34.515730809375,-112.38246065632458
3,34.516091153125004,-112.38279373508352
4,34.515924840625004,-112.38216088544152
5,34.51613273125,-112.38221084725537
6,34.516312903125,-112.38367639379474
7,34.51757410625,-112.38419266587113
8,34.517920590625,-112.38420931980906
9,34.518558121875,-112.38437585918854
10,34.5187660125,-112.38384293317422
11,34.5186551375,-112.38345989260142
12,34.518987762500004,-112.383909548926
13,34.519154075,-112.38440916706443
14,34.51979160625,-112.38450909069212
15,34.5199302,-112.38399281861577
16,34.52006879375,-112.38382627923627
17,34.520165809375,-112.383593124105
18,34.520193528125,-112.38419266587113
19,34.520720184375,-112.384858823389
20,34.521357715625,-112.38522521002386
21,34.52167648125,-112.38497540095464
22,34.5218705125,-112.38465897613364
23,34.522106121875,-112.384858823389
24,34.52250804375,-112.384858823389
25,34.522411028125,-112.38634102386636
26,34.52189823125,-112.3867074105012
27,34.52106666875,-112.3876233770883
28,34.5208172,-112.38845607398568
29,34.52051229375,-112.38704048926014
30,34.5194312625,-112.38798976372314
31,34.519555996875,-112.38749014558472
32,34.51968073125,-112.38747349164676
33,34.51962529375,-112.38685729594272
34,34.51907091875,-112.38645760143196
35,34.51790673125,-112.38615783054892
36,34.517587965625,-112.38640763961811
37,34.517380075,-112.38610786873508
38,34.517241481250004,-112.38619113842482
39,34.51701973125,-112.38659083293555
40,34.51696429375,-112.38622444630072
41,34.51685341875,-112.38592467541766
42,34.51607729375,-112.38579144391409
43,34.515536778125,-112.38619113842482
44,34.5155506375,-112.38564155847254
45,34.515342746875,-112.38545836515512
46,34.5151071375,-112.38540840334127
