,Lattitude,Longitude
0,34.515176434375,-112.38477555369928
1,34.515827825,-112.3843258973747
2,34.5157723875,-112.38286035083532
3,34.515813965625,-112.38242734844869
4,34.516063434375,-112.38271046539379
5,34.515980278125,-112.38222750119331
6,34.51613273125,-112.38222750119331
7,34.51635448125,-112.38369304773269
8,34.51857198125,-112.38435920525059
9,34.51857198125,-112.38375966348448
10,34.51862741875,-112.38334331503579
11,34.52012423125,-112.38477555369928
12,34.521274559375,-112.3839761646778
13,34.52245260625,-112.38490878520285
14,34.5226466375,-112.3865741789976
15,34.521662621875,-112.38697387350835
16,34.52095579375,-112.3876899928401
17,34.52090035625,-112.38830618854415
18,34.52084491875,-112.38843942004773
19,34.520692465625004,-112.38802307159904
20,34.52062316875,-112.3873069522673
21,34.520567731250004,-112.38715706682576
22,34.519472840625,-112.38808968735083
23,34.519334246875,-112.38773995465394
24,34.519611434375,-112.38739022195703
25,34.519597575,-112.3869905274463
26,34.519306528125,-112.38662414081145
27,34.518696715625,-112.3863243699284
28,34.5181562,-112.3863243699284
29,34.517837434375004,-112.38620779236277
30,34.51768498125,-112.38654087112171
31,34.51749095,-112.3863243699284
32,34.517061309375,-112.38589136754176
33,34.517061309375,-112.38592467541766
34,34.51690885625,-112.3859746372315
35,34.51646535625,-112.38605790692124
36,34.51646535625,-112.38605790692124
37,34.51563379375,-112.38647425536992
