,Lattitude,Longitude
0,34.5150517,-112.38472559188544
1,34.515786246875,-112.38437585918854
2,34.5157723875,-112.38384293317422
3,34.515730809375,-112.38309350596658
4,34.51568923125,-112.38274377326968
5,34.515827825,-112.38244400238663
6,34.51602185625,-112.38279373508352
7,34.516118871875,-112.38279373508352
8,34.516091153125004,-112.38254392601432
9,34.515924840625004,-112.3823607326969
10,34.515924840625004,-112.38219419331742
11,34.516063434375,-112.38222750119331
12,34.51613273125,-112.3822941169451
13,34.516229746875,-112.38277708114558
14,34.5163822,-112.38312681384248
15,34.516271325,-112.38374300954654
16,34.516700965625,-112.38395951073986
17,34.51704745,-112.38410939618137
18,34.51735235625,-112.38417601193316
19,34.51749095,-112.38424262768496
20,34.51793445,-112.38427593556085
21,34.518419528125,-112.38439251312649
22,34.5186551375,-112.3843258973747
23,34.518779871875,-112.38394285680191
24,34.518641278125,-112.38369304773269
25,34.518641278125,-112.38342658472553
26,34.51901548125,-112.38390954892601
27,34.519140215625,-112.38435920525059
28,34.5197638875,-112.38450909069212
29,34.519888621875,-112.38407608830549
30,34.520041075,-112.38387624105012
31,34.520096512500004,-112.38355981622911
32,34.52023510625,-112.38380962529833
33,34.520165809375,-112.38412605011932
34,34.52015195,-112.38424262768496
35,34.5204291375,-112.3846090143198
36,34.520581590625,-112.3846756300716
37,34.52067860625,-112.38465897613365
38,34.520706325,-112.38480886157518
39,34.52067860625,-112.38487547732696
40,34.521274559375,-112.3853084797136
41,34.5214270125,-112.38522521002386
42,34.52162104375,-112.38499205489259
43,34.521828934375,-112.38477555369928
44,34.52192595,-112.38462566825775
45,34.522050684375,-112.38490878520285
46,34.522314012500004,-112.38497540095464
47,34.5225357625,-112.38494209307875
48,34.522438746875004,-112.38620779236277
49,34.522327871875,-112.38640763961813
50,34.52200910625,-112.38659083293555
51,34.521759637500004,-112.38680733412887
52,34.521551746875,-112.3869905274463
53,34.5212607,-112.38732360620524
54,34.521025090625,-112.3876566849642
55,34.520886496875,-112.38759006921241
56,34.520886496875,-112.3876566849642
57,34.52103895,-112.38770664677804
58,34.5208172,-112.38843942004773
59,34.520706325,-112.38795645584725
60,34.520553871875,-112.38707379713604
61,34.520498434375,-112.38707379713604
62,34.520442996875,-112.38704048926014
63,34.520304403125,-112.38715706682576
64,34.519819325,-112.38773995465394
65,34.519445121875,-112.38798976372314
66,34.519542137500004,-112.38754010739856
67,34.51968073125,-112.38749014558472
68,34.51973616875,-112.38734026014319
69,34.519666871875,-112.38700718138425
70,34.519583715625004,-112.38677402625298
71,34.519458981250004,-112.38665744868734
72,34.519278809375,-112.38655752505966
73,34.518696715625,-112.3863243699284
74,34.518045325,-112.38620779236277
75,34.51785129375,-112.38620779236277
76,34.517671121875004,-112.3863243699284
77,34.517643403125,-112.38645760143197
78,34.51751866875,-112.38634102386635
79,34.517504809375,-112.38622444630072
80,34.51749095,-112.38614117661098
81,34.517380075,-112.38610786873508
82,34.51718604375,-112.38614117661098
83,34.51713060625,-112.38634102386635
84,34.51704745,-112.38652421718376
85,34.51701973125,-112.3863243699284
86,34.516950434375,-112.38609121479713
87,34.516894996875,-112.38584140572792
88,34.516645528125004,-112.38587471360381
89,34.516229746875,-112.38575813603818
90,34.515966418750004,-112.38577478997613
91,34.515730809375,-112.3859413293556
92,34.51552291875,-112.38620779236277
93,34.515592215625,-112.3859413293556
94,34.515606075,-112.38570817422433
95,34.515592215625,-112.38554163484487
96,34.5153288875,-112.38542505727924
97,34.515204153125,-112.38537509546539
98,34.51502398125,-112.38544171121718
